Recognised Vehicle Name,Brand,Model,Year,Category,Engine,Transmission,Mileage km per full tank,Hybrid,Fuel Type,Oil Consumption Km per L,Boot Space L,Airbags,Seating Capacity,Fuel Tank Capacity L,Common Errors,Similar Vehicles,Market Price LKR
Nissan Leaf 2023,Nissan,Leaf,2023,Pickup,2.4L I4,Automatic,471,No,Petrol,16.9,289,10,6,40,AC compressor failure; Turbocharger lag; Brake pad wear prematurely; Timing chain stretch; Airbag sensor warning,BMW X3; Land Rover Range Rover Sport; Audi A6,7437240.00
Honda CR-V 2004,Honda,CR-V,2004,Hatchback,1.0L I3,Automatic,817,Yes,Electric,16.6,414,8,8,50,Timing chain stretch; DPF clogging (diesel); Coolant leak; Brake pad wear prematurely; Turbocharger lag,Volvo C40; Chevrolet Tahoe; Mitsubishi Pajero,537840.00
Mazda 2 2003,Mazda,2,2003,Crossover,1.8L I4,Automatic,893,No,Petrol,12.5,448,4,5,90,Hybrid battery cell imbalance; Oil leak from valve cover; Infotainment touchscreen lag; AC compressor failure; Alternator failure,Land Rover Defender; Land Rover Range Rover; Porsche Cayman,1391040.00
Porsche Cayenne 2023,Porsche,Cayenne,2023,Crossover,2.5L I4,Manual,604,No,Petrol,14.1,699,4,8,40,Head gasket issue; AC compressor failure; DPF clogging (diesel); Infotainment touchscreen lag; Turbocharger lag,Jeep Renegade; Mitsubishi Outlander; Nissan Juke,11774160.00
Land Rover Defender 2020,Land Rover,Defender,2020,Convertible,3.5L V6,Dual-Clutch (DCT),410,No,Petrol,12.7,648,4,7,55,Exhaust manifold crack; Infotainment touchscreen lag; Window regulator failure; Starter motor issues; Transmission jerking,Mazda CX-30; Jeep Renegade; Subaru Outback,8599680.00
Land Rover Range Rover Sport 2019,Land Rover,Range Rover Sport,2019,Hatchback,2.0L I4,CVT,741,No,Petrol,9.6,703,2,6,75,Transmission jerking; Timing chain stretch; Brake pad wear prematurely; Oil leak from valve cover; AC compressor failure,Volkswagen Tiguan; Subaru Forester; Mercedes-Benz C-Class,6447600.00
Mercedes-Benz A-Class 2016,Mercedes-Benz,A-Class,2016,Coupe,1.2L I4,Manual,620,No,Petrol,13.6,698,6,5,65,Oil leak from valve cover; Coolant leak; Fuel injector clogging; Starter motor issues; Alternator failure,Ford Escape; Volvo S60; Volvo XC90,5114880.00
Nissan Altima 2025,Nissan,Altima,2025,Sedan,1.5L I4,8-Speed Automatic,659,No,Petrol,16.7,570,4,8,60,Window regulator failure; Head gasket issue; Power steering leak; Alternator failure; Starter motor issues,Subaru BRZ; Tesla Model 3; Chevrolet Equinox,10188000.00
Nissan Rogue 2014,Nissan,Rogue,2014,Pickup,5.0L V8,Manual,827,No,Petrol,13.1,287,6,5,70,Battery degradation; Timing chain stretch; Starter motor issues; Head gasket issue; DPF clogging (diesel),Audi Q3; Chevrolet Equinox; Land Rover Discovery,3107160.00
Mazda CX-3 2014,Mazda,CX-3,2014,Crossover,3.5L V6,Manual,474,No,Petrol,13.2,271,2,5,65,Hybrid battery cell imbalance; Suspension noise; DPF clogging (diesel); Oil leak from valve cover; Airbag sensor warning,Ford F-150; Chevrolet Tahoe; Ford Focus,3024720.00
Volvo V60 2013,Volvo,V60,2013,Sports,4.0L V8,6-Speed Automatic,847,No,Petrol,17.1,208,6,7,90,Starter motor issues; Hybrid battery cell imbalance; Window regulator failure; Brake pad wear prematurely; Coolant leak,Tesla Model Y; Jeep Grand Cherokee; BMW X1,3640680.00
Hyundai Elantra 2001,Hyundai,Elantra,2001,SUV,3.0L V6,Dual-Clutch (DCT),666,No,Petrol,8.9,765,6,7,65,Suspension noise; AC compressor failure; Exhaust manifold crack; Fuel injector clogging; Timing chain stretch,Kia Cerato; Land Rover Velar; Porsche Cayenne,1943280.00
Nissan Leaf 2011,Nissan,Leaf,2011,Sports,2.4L I4,6-Speed Automatic,581,No,Diesel,17.4,659,6,7,40,Window regulator failure; Infotainment touchscreen lag; Timing chain stretch; Coolant leak; Battery degradation,Hyundai Santa Fe; Chevrolet Equinox; Mazda 6,1087200.00
Volvo XC90 2007,Volvo,XC90,2007,Sports,1.5L I4,CVT,698,No,Diesel,12.5,350,8,6,45,Turbocharger lag; Oil leak from valve cover; DPF clogging (diesel); Starter motor issues; Power steering leak,Volvo S90; Honda CR-V; Subaru BRZ,782280.00
Volvo XC40 2018,Volvo,XC40,2018,Crossover,4.0L V8,CVT,725,No,Petrol,17.3,701,8,4,50,Head gasket issue; Starter motor issues; Power steering leak; Window regulator failure; Exhaust manifold crack,Jaguar XE; Jaguar E-Pace; Nissan GT-R,6550560.00
BMW i4 2015,BMW,i4,2015,SUV,1.2L I4,6-Speed Automatic,883,No,Diesel,9.2,618,2,2,65,Exhaust manifold crack; Transmission jerking; Oil leak from valve cover; Head gasket issue; Starter motor issues,Mazda 3; Kia Sportage; Kia Cerato,3294720.00
Hyundai Santa Fe 2000,Hyundai,Santa Fe,2000,Convertible,1.6L I4,Automatic,424,No,Petrol,10.8,387,8,2,45,Coolant leak; Battery degradation; Turbocharger lag; Oil leak from valve cover; DPF clogging (diesel),Kia Sorento; Volvo XC40; Tesla Model X,853200.00
Subaru Outback 2023,Subaru,Outback,2023,Sports,1.6L I4,Automatic,725,No,Petrol,12.5,533,2,7,90,DPF clogging (diesel); Hybrid battery cell imbalance; Timing chain stretch; Exhaust manifold crack; Infotainment touchscreen lag,Ford Explorer; Volvo S90; Hyundai Sonata,7377480.00
Honda CR-V 2022,Honda,CR-V,2022,MPV,1.0L I3,8-Speed Automatic,687,No,Petrol,8.9,754,10,2,90,Head gasket issue; Brake pad wear prematurely; Power steering leak; Airbag sensor warning; AC compressor failure,Jaguar I-Pace; BMW 3 Series; Toyota Hilux,5161680.00
Volkswagen ID.4 2006,Volkswagen,ID.4,2006,Crossover,2.2L I4 Turbo,6-Speed Automatic,443,No,Petrol,12,246,8,2,65,DPF clogging (diesel); Suspension noise; Airbag sensor warning; AC compressor failure; Infotainment touchscreen lag,Volkswagen Passat; Honda Odyssey; Nissan Juke,734400.00
Nissan Maxima 2009,Nissan,Maxima,2009,MPV,1.6L I4,Automatic,793,No,Petrol,12.1,373,2,7,65,Suspension noise; AC compressor failure; Oil leak from valve cover; Transmission jerking; Hybrid battery cell imbalance,Kia Stinger; Chevrolet Traverse; Jeep Renegade,360000.00
Kia Seltos 2012,Kia,Seltos,2012,Pickup,1.5L I4,Manual,522,No,Petrol,12.9,716,8,2,60,Oil leak from valve cover; Infotainment touchscreen lag; Window regulator failure; DPF clogging (diesel); Turbocharger lag,Toyota Supra; Jeep Compass; Audi Q3,1795680.00
Toyota Hilux 2017,Toyota,Hilux,2017,Pickup,1.5L I4,Automatic,733,No,Petrol,12.1,285,10,4,50,Battery degradation; Coolant leak; Suspension noise; Timing chain stretch; DPF clogging (diesel),Volvo XC40; Ford Explorer; Toyota Corolla,3369240.00
Jeep Renegade 2009,Jeep,Renegade,2009,Sedan,1.8L I4,Manual,877,No,Petrol,10.5,589,6,8,55,Exhaust manifold crack; Head gasket issue; Transmission jerking; Oil leak from valve cover; Suspension noise,Jaguar I-Pace; Honda Civic; Hyundai Ioniq,1994400.00
Honda Odyssey 2022,Honda,Odyssey,2022,Sports,1.5L I4,Automatic,543,No,Petrol,13,525,6,8,60,Window regulator failure; Fuel injector clogging; Timing chain stretch; Infotainment touchscreen lag; Head gasket issue,Volvo XC90; Tesla Model S; Toyota Hilux,5428080.00
Chevrolet Tahoe 2000,Chevrolet,Tahoe,2000,Sedan,Electric Dual Motor,Manual,388,No,Diesel,,700,8,7,,Turbocharger lag; Airbag sensor warning; Coolant leak; AC compressor failure; Window regulator failure,Nissan Pathfinder; Subaru Forester; Mazda 6,1416960.00
Jaguar XJ 2012,Jaguar,XJ,2012,Sedan,1.8L I4,6-Speed Automatic,463,No,Diesel,12.4,426,2,5,65,Brake pad wear prematurely; Turbocharger lag; Transmission jerking; Timing chain stretch; Head gasket issue,Subaru Outback; Ford F-150; Hyundai Sonata,2694600.00
Land Rover Evoque 2022,Land Rover,Evoque,2022,Pickup,2.0L I4,Manual,820,No,Petrol,10.8,712,8,4,80,Brake pad wear prematurely; Exhaust manifold crack; Suspension noise; Turbocharger lag; Starter motor issues,Ford Edge; Nissan Navara; Volkswagen Tiguan,11428560.00
Porsche Cayman 2016,Porsche,Cayman,2016,Sedan,2.4L I4,Automatic,896,No,Petrol,10.5,773,8,2,70,Oil leak from valve cover; Infotainment touchscreen lag; DPF clogging (diesel); Coolant leak; Fuel injector clogging,Jaguar XF; Volvo C40; Porsche 911,3390840.00
Tesla Model S 2023,Tesla,Model S,2023,MPV,2.2L I4 Turbo,Manual,870,No,Petrol,8.1,399,6,2,90,AC compressor failure; Timing chain stretch; DPF clogging (diesel); Turbocharger lag; Exhaust manifold crack,Mercedes-Benz S-Class; Kia EV6; Kia Sportage,15465960.00
Honda Accord 2000,Honda,Accord,2000,Sedan,Electric Dual Motor,Dual-Clutch (DCT),620,No,Petrol,,453,2,6,,Timing chain stretch; Infotainment touchscreen lag; Oil leak from valve cover; Exhaust manifold crack; Airbag sensor warning,Volvo S60; Nissan Leaf; Volvo V60,360000.00
Porsche 911 2002,Porsche,911,2002,Convertible,1.2L I4,Manual,560,No,Petrol,15.8,263,8,2,60,Airbag sensor warning; DPF clogging (diesel); Turbocharger lag; Alternator failure; Oil leak from valve cover,Ford Ranger; Hyundai Palisade; Mazda 6,1314720.00
Subaru Impreza 2019,Subaru,Impreza,2019,Sedan,5.0L V8,Automatic,632,No,Diesel,16.8,303,6,8,40,Window regulator failure; Head gasket issue; Infotainment touchscreen lag; Brake pad wear prematurely; Alternator failure,Toyota Prius; Honda Civic; BMW 7 Series,2976840.00
Porsche Cayman 2020,Porsche,Cayman,2020,Convertible,2.4L I4,CVT,646,No,Petrol,10.4,245,2,4,60,Exhaust manifold crack; DPF clogging (diesel); Head gasket issue; Battery degradation; Transmission jerking,Chevrolet Traverse; Mitsubishi Lancer; Kia Sportage,8188920.00
Jaguar XJ 2009,Jaguar,XJ,2009,Sports,3.5L V6,Manual,700,No,Petrol,10.4,772,2,6,65,Brake pad wear prematurely; Airbag sensor warning; Exhaust manifold crack; Turbocharger lag; Infotainment touchscreen lag,Mitsubishi Outlander; Volvo C40; Kia EV6,1041120.00
Porsche Cayenne 2010,Porsche,Cayenne,2010,Coupe,2.5L I4,Dual-Clutch (DCT),483,No,Diesel,17.1,707,4,2,55,Timing chain stretch; Window regulator failure; Brake pad wear prematurely; Airbag sensor warning; Power steering leak,Kia EV6; Mazda 3; BMW X5,2860920.00
Subaru WRX 2000,Subaru,WRX,2000,Hatchback,3.5L V6,Manual,583,Yes,Petrol,10.9,399,10,5,40,AC compressor failure; Brake pad wear prematurely; Exhaust manifold crack; Transmission jerking; Suspension noise,Volkswagen Touareg; Mercedes-Benz GLS; Tesla Model 3,360000.00
Mitsubishi Outlander 2005,Mitsubishi,Outlander,2005,SUV,2.0L I4,Manual,831,No,Petrol,16.3,340,8,8,45,Infotainment touchscreen lag; Brake pad wear prematurely; Transmission jerking; Window regulator failure; Timing chain stretch,Mazda 2; Mercedes-Benz GLE; Jaguar F-Pace,771120.00
Jaguar F-Pace 2022,Jaguar,F-Pace,2022,SUV,1.4L I4,Manual,851,No,Diesel,9.9,587,6,5,90,DPF clogging (diesel); Timing chain stretch; Oil leak from valve cover; Brake pad wear prematurely; Transmission jerking,Chevrolet Tahoe; Kia Carnival; Volkswagen Golf,13049280.00
Ford Ranger 2004,Ford,Ranger,2004,Hatchback,Electric Dual Motor,Automatic,540,No,Diesel,,266,4,7,,Hybrid battery cell imbalance; Head gasket issue; Battery degradation; Power steering leak; Window regulator failure,Kia Carnival; Mazda 3; Jaguar F-Pace,360000.00
Land Rover Evoque 2015,Land Rover,Evoque,2015,Convertible,Electric Dual Motor,CVT,598,No,Electric,,424,4,6,,Timing chain stretch; Hybrid battery cell imbalance; Brake pad wear prematurely; Transmission jerking; DPF clogging (diesel),Mercedes-Benz C-Class; Mazda 2; Volkswagen Passat,4378680.00
Mitsubishi Lancer 2004,Mitsubishi,Lancer,2004,Crossover,1.4L I4,CVT,665,No,Petrol,12.7,544,8,6,75,DPF clogging (diesel); Airbag sensor warning; Battery degradation; Power steering leak; Infotainment touchscreen lag,Mazda 6; Toyota Yaris; Mercedes-Benz G-Class,381240.00
Jeep Grand Cherokee 2008,Jeep,Grand Cherokee,2008,Hatchback,1.4L I4,CVT,550,No,Petrol,14.4,483,4,2,45,Turbocharger lag; Battery degradation; Oil leak from valve cover; Brake pad wear prematurely; Infotainment touchscreen lag,Kia EV6; Volkswagen Polo; Kia Rio,360000.00
Volkswagen Polo 2022,Volkswagen,Polo,2022,Sports,1.6L I4,6-Speed Automatic,867,No,Diesel,10.8,554,8,6,90,AC compressor failure; Power steering leak; Head gasket issue; Starter motor issues; Hybrid battery cell imbalance,Audi A8; BMW X7; Mitsubishi Pajero,4372560.00
Audi e-tron 2023,Audi,e-tron,2023,Hatchback,Electric Motor (single),CVT,396,No,Diesel,,627,4,6,,Window regulator failure; Coolant leak; AC compressor failure; Battery degradation; Starter motor issues,Nissan Navara; Kia Sportage; Toyota RAV4,12687120.00
Land Rover Evoque 2011,Land Rover,Evoque,2011,Convertible,3.0L V6,Automatic,617,No,Petrol,15.8,750,6,5,90,AC compressor failure; Exhaust manifold crack; Oil leak from valve cover; Starter motor issues; Head gasket issue,Mazda CX-5; Mazda 6; BMW X5,1918440.00
Subaru Impreza 2017,Subaru,Impreza,2017,Crossover,4.0L V8,Automatic,455,No,Electric,14.4,511,2,4,45,Coolant leak; Suspension noise; Oil leak from valve cover; Power steering leak; AC compressor failure,BMW X1; Honda Civic; Mazda CX-30,2895840.00
Hyundai Sonata 2007,Hyundai,Sonata,2007,Sports,2.5L I4,6-Speed Automatic,435,No,Petrol,8.1,534,8,6,50,Alternator failure; Starter motor issues; Coolant leak; DPF clogging (diesel); Power steering leak,Honda Civic; Mazda CX-5; BMW X5,1954080.00
Chevrolet Corvette 2006,Chevrolet,Corvette,2006,Crossover,2.5L I4,Dual-Clutch (DCT),481,No,Diesel,13.9,714,8,5,55,AC compressor failure; Starter motor issues; Window regulator failure; Turbocharger lag; Hybrid battery cell imbalance,Volkswagen Polo; Jaguar F-Pace; Tesla Model S,1473480.00
Porsche Macan 2014,Porsche,Macan,2014,Sedan,Electric Motor (single),8-Speed Automatic,346,No,Petrol,,555,6,6,,Airbag sensor warning; Suspension noise; DPF clogging (diesel); Timing chain stretch; Exhaust manifold crack,Land Rover Discovery; Volvo XC60; Mazda CX-3,3812400.00
Mercedes-Benz G-Class 2018,Mercedes-Benz,G-Class,2018,Sedan,1.5L I4,Dual-Clutch (DCT),522,No,Petrol,16.8,750,6,8,45,Brake pad wear prematurely; Power steering leak; DPF clogging (diesel); Alternator failure; Battery degradation,Nissan Altima; Porsche Cayenne; Kia EV6,4698360.00
Mazda CX-3 2005,Mazda,CX-3,2005,Sports,2.4L I4,Automatic,422,No,Petrol,14.9,672,8,5,70,Brake pad wear prematurely; Hybrid battery cell imbalance; Oil leak from valve cover; AC compressor failure; Fuel injector clogging,Chevrolet Camaro; Kia Carnival; Volvo C40,360000.00
Land Rover Discovery 2002,Land Rover,Discovery,2002,Pickup,1.4L I4,8-Speed Automatic,765,No,Petrol,16.2,365,4,2,90,Alternator failure; Suspension noise; Transmission jerking; Airbag sensor warning; Hybrid battery cell imbalance,Honda CR-V; Toyota RAV4; Volkswagen ID.4,360000.00
Chevrolet Equinox 2011,Chevrolet,Equinox,2011,Sedan,1.8L I4,Automatic,857,No,Petrol,15,735,2,6,60,Window regulator failure; Oil leak from valve cover; AC compressor failure; Exhaust manifold crack; Hybrid battery cell imbalance,BMW X5; Volkswagen Polo; Mazda 3,2467080.00
Audi A8 2002,Audi,A8,2002,Sedan,1.0L I3,Dual-Clutch (DCT),407,No,Petrol,14.7,425,2,8,50,Suspension noise; Oil leak from valve cover; DPF clogging (diesel); Head gasket issue; Alternator failure,Kia EV6; Kia Carnival; BMW 5 Series,2070720.00
Jaguar XF 2017,Jaguar,XF,2017,Hatchback,4.0L V8,Dual-Clutch (DCT),518,No,Petrol,9.7,611,6,2,70,Brake pad wear prematurely; Window regulator failure; Timing chain stretch; Turbocharger lag; Fuel injector clogging,Subaru BRZ; Ford Explorer; Honda Civic,5610960.00
BMW X7 2009,BMW,X7,2009,Sports,Electric Dual Motor,Manual,591,No,Electric,,532,8,8,,Starter motor issues; Infotainment touchscreen lag; Suspension noise; Exhaust manifold crack; Power steering leak,Tesla Model 3; Toyota Hilux; Volvo V60,982440.00
Subaru Legacy 2020,Subaru,Legacy,2020,Sedan,2.2L I4 Turbo,8-Speed Automatic,519,Yes,Diesel,9.2,442,8,4,90,Turbocharger lag; Oil leak from valve cover; Starter motor issues; Battery degradation; Power steering leak,BMW X3; Chevrolet Tahoe; Mazda 6,4147560.00
BMW 3 Series 2007,BMW,3 Series,2007,Coupe,Electric Motor (single),6-Speed Automatic,442,No,Electric,,733,8,8,,Transmission jerking; AC compressor failure; Timing chain stretch; Infotainment touchscreen lag; Head gasket issue,BMW X7; Ford Ranger; Volkswagen Polo,1080360.00
Audi Q7 2016,Audi,Q7,2016,Crossover,3.0L V6,Automatic,722,Yes,Diesel,8.7,397,2,8,50,Brake pad wear prematurely; Starter motor issues; Turbocharger lag; Suspension noise; Airbag sensor warning,Porsche Cayenne; Honda HR-V; Land Rover Discovery,3728520.00
Jeep Cherokee 2005,Jeep,Cherokee,2005,Convertible,2.0L I4,Automatic,490,No,Petrol,13.8,406,6,6,45,Battery degradation; Hybrid battery cell imbalance; Exhaust manifold crack; Suspension noise; Power steering leak,Land Rover Velar; Porsche Cayenne; Land Rover Defender,860400.00
Chevrolet Corvette 2025,Chevrolet,Corvette,2025,Convertible,Electric Dual Motor,Manual,342,No,Petrol,,750,4,7,,Suspension noise; Fuel injector clogging; Hybrid battery cell imbalance; Window regulator failure; Transmission jerking,Hyundai Santa Fe; Mazda 6; Mitsubishi ASX,9617400.00
Honda Pilot 2004,Honda,Pilot,2004,SUV,Electric Dual Motor,Automatic,397,Yes,Diesel,,583,8,6,,DPF clogging (diesel); Hybrid battery cell imbalance; Battery degradation; Exhaust manifold crack; Power steering leak,Honda Accord; Jeep Compass; Ford F-150,528480.00
Nissan Pathfinder 2018,Nissan,Pathfinder,2018,Convertible,1.8L I4,Automatic,890,No,Diesel,15.2,721,8,8,65,Oil leak from valve cover; Hybrid battery cell imbalance; DPF clogging (diesel); Timing chain stretch; Head gasket issue,Toyota Corolla Cross; Subaru Legacy; Toyota Supra,3573720.00
Chevrolet Malibu 2019,Chevrolet,Malibu,2019,SUV,Electric Motor (single),6-Speed Automatic,426,No,Diesel,,365,2,2,,Turbocharger lag; Hybrid battery cell imbalance; Exhaust manifold crack; Airbag sensor warning; Brake pad wear prematurely,Mercedes-Benz GLE; Land Rover Discovery; Volkswagen Passat,4430520.00
Hyundai Kona 2017,Hyundai,Kona,2017,MPV,4.0L V8,8-Speed Automatic,775,No,Diesel,15.3,291,2,8,90,Battery degradation; Starter motor issues; Fuel injector clogging; Brake pad wear prematurely; Hybrid battery cell imbalance,Kia Sportage; Toyota Camry; Mercedes-Benz GLE,3793680.00
Land Rover Range Rover 2003,Land Rover,Range Rover,2003,Convertible,1.4L I4,6-Speed Automatic,668,No,Petrol,12.3,380,6,4,50,Brake pad wear prematurely; Power steering leak; Suspension noise; Head gasket issue; Alternator failure,BMW i4; BMW 3 Series; BMW X3,1062360.00
Ford Explorer 2025,Ford,Explorer,2025,Convertible,2.0L I4,CVT,625,No,Petrol,16.7,370,2,5,45,Hybrid battery cell imbalance; Alternator failure; Fuel injector clogging; Turbocharger lag; Infotainment touchscreen lag,Audi Q7; Mitsubishi Eclipse Cross; Mitsubishi Mirage,8367480.00
Nissan Leaf 2001,Nissan,Leaf,2001,Sedan,2.4L I4,Manual,449,No,Diesel,11.8,732,6,6,75,Infotainment touchscreen lag; DPF clogging (diesel); Airbag sensor warning; Battery degradation; Coolant leak,Audi e-tron; Subaru Legacy; Jeep Grand Cherokee,391320.00
Subaru Legacy 2001,Subaru,Legacy,2001,Hatchback,3.5L V6,CVT,401,No,Petrol,15.3,342,2,7,45,Head gasket issue; Fuel injector clogging; Timing chain stretch; Battery degradation; Window regulator failure,Mitsubishi Pajero; Jaguar XE; Jeep Renegade,1285200.00
BMW 3 Series 2020,BMW,3 Series,2020,Coupe,3.0L V6,Manual,847,Yes,Diesel,11.3,654,4,7,75,Hybrid battery cell imbalance; Turbocharger lag; Battery degradation; DPF clogging (diesel); Power steering leak,Nissan Leaf; Mazda CX-30; Hyundai Ioniq,8409240.00
Jaguar XF 2004,Jaguar,XF,2004,Crossover,1.2L I4,Automatic,807,No,Diesel,18,678,4,6,45,Power steering leak; Coolant leak; Timing chain stretch; Exhaust manifold crack; Brake pad wear prematurely,Honda Pilot; Nissan Maxima; Land Rover Defender,360000.00
Toyota RAV4 2010,Toyota,RAV4,2010,SUV,4.0L V8,CVT,768,No,Petrol,17,326,4,7,75,Turbocharger lag; Infotainment touchscreen lag; Timing chain stretch; Airbag sensor warning; Exhaust manifold crack,Mazda CX-3; Land Rover Evoque; Audi Q5,1295640.00
Audi Q3 2003,Audi,Q3,2003,Hatchback,2.5L I4,Manual,445,No,Petrol,9.9,318,10,5,50,Infotainment touchscreen lag; Hybrid battery cell imbalance; AC compressor failure; Transmission jerking; Oil leak from valve cover,BMW 5 Series; Mazda CX-5; Land Rover Velar,1473480.00
Kia Stinger 2025,Kia,Stinger,2025,Pickup,1.6L I4,8-Speed Automatic,454,No,Petrol,12.6,348,6,4,75,Window regulator failure; Starter motor issues; Transmission jerking; Exhaust manifold crack; Oil leak from valve cover,Kia Seltos; Kia Sportage; Porsche Macan,10046160.00
Nissan Juke 2022,Nissan,Juke,2022,Pickup,Electric Dual Motor,6-Speed Automatic,449,No,Petrol,,260,6,4,,Brake pad wear prematurely; Timing chain stretch; Oil leak from valve cover; Suspension noise; Power steering leak,Mazda MX-5; Kia Rio; Mercedes-Benz E-Class,6951960.00
Toyota Corolla Cross 2012,Toyota,Corolla Cross,2012,SUV,3.0L V6,Dual-Clutch (DCT),578,No,Petrol,13.3,489,6,8,55,Coolant leak; Hybrid battery cell imbalance; Alternator failure; Starter motor issues; Infotainment touchscreen lag,Ford Focus; Kia Cerato; Volvo XC90,2749680.00
Mercedes-Benz GLS 2004,Mercedes-Benz,GLS,2004,Crossover,Electric Motor (single),6-Speed Automatic,374,No,Diesel,,400,2,5,,Exhaust manifold crack; Alternator failure; Starter motor issues; Hybrid battery cell imbalance; DPF clogging (diesel),Mercedes-Benz GLE; Ford Focus; Honda Insight,1817280.00
Tesla Model Y 2005,Tesla,Model Y,2005,Sports,1.2L I4,Manual,732,No,Petrol,9.5,613,4,2,45,Timing chain stretch; Hybrid battery cell imbalance; Power steering leak; Transmission jerking; Suspension noise,Mazda 6; Honda Pilot; Volvo C40,2041920.00
Subaru Forester 2020,Subaru,Forester,2020,Sedan,Electric Motor (single),CVT,359,No,Petrol,,721,4,2,,Exhaust manifold crack; Airbag sensor warning; Power steering leak; Fuel injector clogging; Alternator failure,Mercedes-Benz A-Class; Mazda CX-30; Mitsubishi ASX,5615640.00
Mazda 6 2018,Mazda,6,2018,Coupe,1.6L I4,Manual,432,No,Diesel,13.4,615,2,6,80,Coolant leak; Head gasket issue; Power steering leak; Turbocharger lag; Alternator failure,BMW X7; Nissan GT-R; Mercedes-Benz A-Class,4386960.00
Jaguar I-Pace 2000,Jaguar,I-Pace,2000,Hatchback,Electric Motor (single),CVT,365,No,Diesel,,365,2,7,,Fuel injector clogging; Oil leak from valve cover; Turbocharger lag; Alternator failure; Transmission jerking,Mercedes-Benz GLE; Land Rover Range Rover Sport; Toyota Corolla,630360.00
Audi Q3 2001,Audi,Q3,2001,Sports,2.5L I4,6-Speed Automatic,627,No,Petrol,11.1,560,10,7,80,Brake pad wear prematurely; Alternator failure; Oil leak from valve cover; Timing chain stretch; Coolant leak,Chevrolet Equinox; Kia Rio; Audi A3,360000.00
Chevrolet Traverse 2017,Chevrolet,Traverse,2017,Coupe,2.0L I4,8-Speed Automatic,542,No,Petrol,8.7,461,6,6,50,Hybrid battery cell imbalance; Window regulator failure; Turbocharger lag; Fuel injector clogging; DPF clogging (diesel),Chevrolet Equinox; BMW X7; Honda Accord,3780360.00
Volkswagen Arteon 2022,Volkswagen,Arteon,2022,Coupe,2.0L I4,6-Speed Automatic,688,No,Diesel,14,629,4,5,70,Hybrid battery cell imbalance; AC compressor failure; Timing chain stretch; Turbocharger lag; Fuel injector clogging,Jaguar I-Pace; Nissan Rogue; Jeep Compass,4068720.00
Honda Pilot 2020,Honda,Pilot,2020,Coupe,1.4L I4,CVT,798,No,Diesel,10.3,210,2,6,55,Hybrid battery cell imbalance; Alternator failure; Exhaust manifold crack; Suspension noise; Transmission jerking,Porsche 911; Nissan Leaf; Jaguar E-Pace,5009400.00
Tesla Model X 2017,Tesla,Model X,2017,Hatchback,2.4L I4,8-Speed Automatic,859,Yes,Petrol,15.5,385,6,8,80,Coolant leak; Hybrid battery cell imbalance; Power steering leak; Starter motor issues; Fuel injector clogging,Jaguar XE; Chevrolet Corvette; Nissan Navara,5193360.00
Chevrolet Equinox 2018,Chevrolet,Equinox,2018,Coupe,2.4L I4,Manual,762,No,Petrol,12.2,668,4,6,65,Window regulator failure; Head gasket issue; Transmission jerking; Fuel injector clogging; DPF clogging (diesel),Audi Q3; Kia Sportage; Honda Pilot,3700080.00
Hyundai Santa Fe 2024,Hyundai,Santa Fe,2024,Hatchback,3.0L V6,Manual,439,No,Diesel,9.7,258,2,8,60,Coolant leak; Power steering leak; AC compressor failure; DPF clogging (diesel); Starter motor issues,Porsche Panamera; Jaguar XE; Jaguar I-Pace,8344440.00
Nissan Pathfinder 2000,Nissan,Pathfinder,2000,Sedan,2.0L I4,6-Speed Automatic,765,No,Petrol,11.5,740,10,2,90,Window regulator failure; Suspension noise; Head gasket issue; Timing chain stretch; Exhaust manifold crack,Subaru BRZ; Chevrolet Malibu; Jaguar XE,360000.00
Tesla Model S 2015,Tesla,Model S,2015,Coupe,4.0L V8,Automatic,896,No,Diesel,10.5,752,2,5,60,Power steering leak; Transmission jerking; Fuel injector clogging; Brake pad wear prematurely; AC compressor failure,Mazda MX-5; Audi A3; Kia Cerato,5708520.00
Volvo C40 2014,Volvo,C40,2014,Coupe,Electric Dual Motor,Manual,615,No,Petrol,,562,2,2,,Battery degradation; Suspension noise; Hybrid battery cell imbalance; Airbag sensor warning; AC compressor failure,Land Rover Discovery; Porsche 911; BMW X1,2289600.00
Honda CR-V 2013,Honda,CR-V,2013,Sedan,1.5L I4,Dual-Clutch (DCT),479,No,Petrol,12.7,583,6,5,70,Suspension noise; Coolant leak; Fuel injector clogging; Alternator failure; Window regulator failure,Volvo S60; Mercedes-Benz S-Class; Chevrolet Equinox,2495520.00
Tesla Model Y 2000,Tesla,Model Y,2000,Pickup,3.5L V6,6-Speed Automatic,456,No,Petrol,11.9,539,2,4,55,Power steering leak; Fuel injector clogging; Alternator failure; DPF clogging (diesel); Airbag sensor warning,Porsche Cayman; Nissan Navara; Kia Carnival,1273320.00
Subaru Legacy 2023,Subaru,Legacy,2023,Hatchback,4.0L V8,Automatic,890,No,Petrol,9.6,712,2,8,55,Oil leak from valve cover; Infotainment touchscreen lag; DPF clogging (diesel); AC compressor failure; Coolant leak,Hyundai Kona; Hyundai Tucson; Mitsubishi Mirage,7198200.00
